customer_city,rank_paying_customers_count,paying_customers_count,orders_count_total,orders_count_delivered,redemption_rate,revenue,revenue_prop_total
Красноярск,1,185,296,143,0.4831081081081081,6675451.21,0.062227560397500374
Ростов-на-Дону,2,177,321,153,0.4766355140186916,6355580.84,0.059245776523666055
Самара,2,177,278,130,0.4676258992805755,5489646.77,0.051173668295168
Ижевск,4,174,273,135,0.4945054945054945,6049812.96,0.056395453957932606
Челябинск,5,173,266,135,0.5075187969924813,5718678.03,0.05330866353612125
Нижний Новгород,5,173,288,136,0.4722222222222222,5669268.34,0.05284807377642218
Омск,7,166,252,130,0.5158730158730159,6192520.39,0.05772575133261705
Екатеринбург,8,162,256,113,0.44140625,4242833.61,0.03955106200571265
Уфа,9,154,248,129,0.5201612903225806,5391794.13,0.05026150058184052
Казань,10,153,240,116,0.48333333333333334,4851847.12,0.04522819509892549
Новосибирск,11,152,248,121,0.4879032258064516,4745541.55,0.044237230433067994
Волгоград,12,151,250,133,0.532,5361154.73,0.049975884665543056
Воронеж,13,149,233,124,0.5321888412017167,5556260.76,0.05179463397308859
Москва,13,149,241,126,0.5228215767634855,5590595.28,0.052114695246822204
Санкт-Петербург,15,147,234,102,0.4358974358974359,4197015.64,0.039123953724073984
Саратов,16,144,235,110,0.46808510638297873,4631393.63,0.04317316055035979
Краснодар,16,144,224,112,0.5,4558006.25,0.04248905434125092
Тюмень,16,144,227,124,0.5462555066079295,5408510.49,0.050417327996168416
Пермь,19,139,226,106,0.4690265486725664,3921463.78,0.03655530038943392
Тольятти,20,134,208,118,0.5673076923076923,5281828.0,0.04923641272171153
,21,40,66,39,0.5909090909090909,1385630.46,0.012916640452573427
