customer_city,cohort,cohort_size,event_month,which_month,n_customers_made_purchase,retention,revenue,mom_revenue
Волгоград,01/01/24,150,01/01/24,0,24,0.16,679101.96,
Волгоград,01/01/24,150,01/02/24,1,32,0.21333333333333335,1201781.88,0.7696633948751966
Волгоград,01/01/24,150,01/03/24,2,26,0.17333333333333334,946044.13,-0.21279880671857027
Волгоград,01/02/24,169,01/02/24,0,14,0.08284023668639054,479434.8,
Волгоград,01/02/24,169,01/03/24,1,47,0.2781065088757396,1343417.89,1.8020867279555008
Волгоград,01/02/24,169,,2,0,0.0,,
Волгоград,01/03/24,167,01/03/24,0,26,0.15568862275449102,711374.07,
Волгоград,01/03/24,167,,1,0,0.0,,
Воронеж,01/01/24,175,01/01/24,0,23,0.13142857142857142,614833.84,
Воронеж,01/01/24,175,01/02/24,1,35,0.2,1341537.2,1.1819508178014404
Воронеж,01/01/24,175,01/03/24,2,35,0.2,1260580.77,-0.06034601947676144
Воронеж,01/01/24,175,,3,0,0.0,,
Воронеж,01/02/24,147,01/02/24,0,12,0.08163265306122448,534114.04,
Воронеж,01/02/24,147,01/03/24,1,36,0.24489795918367346,1190581.19,1.2290767529720805
Воронеж,01/02/24,147,,2,0,0.0,,
Воронеж,01/03/24,199,01/03/24,0,25,0.12562814070351758,614613.72,
Воронеж,01/03/24,199,,1,0,0.0,,
Екатеринбург,01/01/24,168,01/01/24,0,17,0.10119047619047619,436296.52,
Екатеринбург,01/01/24,168,01/02/24,1,43,0.25595238095238093,947333.5,1.1713065692112328
Екатеринбург,01/01/24,168,01/03/24,2,37,0.22023809523809523,1168669.49,0.2336410461574514
Екатеринбург,01/01/24,168,,3,0,0.0,,
Екатеринбург,01/02/24,152,01/02/24,0,23,0.1513157894736842,294305.1,
Екатеринбург,01/02/24,152,01/03/24,1,37,0.24342105263157895,895881.08,2.0440555736207084
Екатеринбург,01/02/24,152,,2,0,0.0,,
Екатеринбург,01/03/24,190,01/03/24,0,22,0.11578947368421053,500347.92,
Екатеринбург,01/03/24,190,,1,0,0.0,,
Ижевск,01/01/24,186,01/01/24,0,19,0.10215053763440861,861621.13,
Ижевск,01/01/24,186,01/02/24,1,39,0.20967741935483872,1303098.64,0.5123800875217626
Ижевск,01/01/24,186,01/03/24,2,57,0.3064516129032258,2038453.04,0.5643121536831625
Ижевск,01/02/24,160,01/02/24,0,14,0.0875,472265.1,
Ижевск,01/02/24,160,01/03/24,1,44,0.275,920174.4,0.9484276945300426
Ижевск,01/02/24,160,,2,0,0.0,,
Ижевск,01/03/24,168,01/03/24,0,18,0.10714285714285714,454200.65,
Ижевск,01/03/24,168,,1,0,0.0,,
Казань,01/01/24,177,01/01/24,0,19,0.10734463276836158,360123.02,
Казань,01/01/24,177,01/02/24,1,38,0.21468926553672316,829085.02,1.3022272222419995
Казань,01/01/24,177,01/03/24,2,49,0.2768361581920904,1624190.61,0.9590157472631697
Казань,01/01/24,177,,3,0,0.0,,
Казань,01/02/24,149,01/02/24,0,22,0.1476510067114094,860645.36,
Казань,01/02/24,149,01/03/24,1,31,0.2080536912751678,853865.54,-0.007877600130209265
Казань,01/02/24,149,,2,0,0.0,,
Казань,01/03/24,181,01/03/24,0,16,0.08839779005524862,323937.57,
Казань,01/03/24,181,,1,0,0.0,,
Краснодар,01/01/24,164,01/01/24,0,14,0.08536585365853659,447910.81,
Краснодар,01/01/24,164,01/02/24,1,21,0.12804878048780488,498914.14,0.11386938841685915
Краснодар,01/01/24,164,01/03/24,2,39,0.23780487804878048,1353260.69,1.7124119793437804
Краснодар,01/01/24,164,,3,0,0.0,,
Краснодар,01/02/24,143,01/02/24,0,20,0.13986013986013987,509522.95,
Краснодар,01/02/24,143,01/03/24,1,39,0.2727272727272727,1161827.26,1.2802255717823898
Краснодар,01/02/24,143,,2,0,0.0,,
Краснодар,01/03/24,186,01/03/24,0,21,0.11290322580645161,586570.4,
Краснодар,01/03/24,186,,1,0,0.0,,
Красноярск,01/01/24,168,01/01/24,0,18,0.10714285714285714,203799.38,
Красноярск,01/01/24,168,01/02/24,1,38,0.2261904761904762,1527233.56,6.493808666150015
Красноярск,01/01/24,168,01/03/24,2,48,0.2857142857142857,1984226.78,0.2992294250003254
Красноярск,01/01/24,168,,3,0,0.0,,
Красноярск,01/02/24,177,01/02/24,0,30,0.1694915254237288,582508.34,
Красноярск,01/02/24,177,01/03/24,1,47,0.2655367231638418,1759534.35,2.0206165803566005
Красноярск,01/02/24,177,,2,0,0.0,,
Красноярск,01/03/24,176,01/03/24,0,25,0.14204545454545456,618148.8,
Красноярск,01/03/24,176,,1,0,0.0,,
Москва,01/01/24,174,01/01/24,0,20,0.11494252873563218,627080.73,
Москва,01/01/24,174,01/02/24,1,32,0.1839080459770115,801544.78,0.278216251358896
Москва,01/01/24,174,01/03/24,2,42,0.2413793103448276,1427993.5,0.7815517431228234
Москва,01/01/24,174,,3,0,0.0,,
Москва,01/02/24,144,01/02/24,0,19,0.13194444444444445,630932.72,
Москва,01/02/24,144,01/03/24,1,32,0.2222222222222222,1054730.27,0.6717000665300731
Москва,01/02/24,144,,2,0,0.0,,
Москва,01/03/24,174,01/03/24,0,18,0.10344827586206896,1048313.28,
Москва,01/03/24,174,,1,0,0.0,,
Нижний Новгород,01/01/24,166,01/01/24,0,20,0.12048192771084337,476073.41,
Нижний Новгород,01/01/24,166,01/02/24,1,42,0.25301204819277107,1033145.9,1.1701398950216522
Нижний Новгород,01/01/24,166,01/03/24,2,39,0.23493975903614459,1083439.28,0.048679842798582465
Нижний Новгород,01/02/24,182,01/02/24,0,26,0.14285714285714285,758655.67,
Нижний Новгород,01/02/24,182,01/03/24,1,46,0.25274725274725274,1685661.63,1.2219060591743813
Нижний Новгород,01/02/24,182,,2,0,0.0,,
Нижний Новгород,01/03/24,169,01/03/24,0,23,0.13609467455621302,632292.45,
Нижний Новгород,01/03/24,169,,1,0,0.0,,
Новосибирск,01/01/24,144,01/01/24,0,17,0.11805555555555555,416962.62,
Новосибирск,01/01/24,144,01/02/24,1,40,0.2777777777777778,1200276.95,1.878620030735609
Новосибирск,01/01/24,144,01/03/24,2,32,0.2222222222222222,1108177.91,-0.07673149101130368
Новосибирск,01/01/24,144,,3,0,0.0,,
Новосибирск,01/02/24,155,01/02/24,0,18,0.11612903225806452,352657.45,
Новосибирск,01/02/24,155,01/03/24,1,44,0.2838709677419355,976369.49,1.7686058808625764
Новосибирск,01/02/24,155,,2,0,0.0,,
Новосибирск,01/03/24,149,01/03/24,0,17,0.11409395973154363,691097.13,
Новосибирск,01/03/24,149,,1,0,0.0,,
Омск,01/01/24,165,01/01/24,0,24,0.14545454545454545,1134294.55,
Омск,01/01/24,165,01/02/24,1,41,0.24848484848484848,1428505.1,0.2593775576194032
Омск,01/01/24,165,01/03/24,2,37,0.22424242424242424,1106086.7,-0.22570335940697728
Омск,01/01/24,165,,3,0,0.0,,
Омск,01/02/24,157,01/02/24,0,16,0.10191082802547771,372059.67,
Омск,01/02/24,157,01/03/24,1,47,0.29936305732484075,1565031.97,3.2064004679679474
Омск,01/02/24,157,,2,0,0.0,,
Омск,01/03/24,162,01/03/24,0,20,0.12345679012345678,586542.4,
Омск,01/03/24,162,,1,0,0.0,,
Пермь,01/01/24,183,01/01/24,0,20,0.1092896174863388,678147.17,
Пермь,01/01/24,183,01/02/24,1,37,0.20218579234972678,977021.25,0.4407215619582988
Пермь,01/01/24,183,01/03/24,2,44,0.24043715846994534,1044270.96,0.06883136881618492
Пермь,01/01/24,183,,3,0,0.0,,
Пермь,01/02/24,137,01/02/24,0,10,0.072992700729927,256463.43,
Пермь,01/02/24,137,01/03/24,1,31,0.22627737226277372,661673.69,1.579992359924376
Пермь,01/02/24,137,,2,0,0.0,,
Пермь,01/03/24,143,01/03/24,0,15,0.1048951048951049,303887.28,
Пермь,01/03/24,143,,1,0,0.0,,
Ростов-на-Дону,01/01/24,193,01/01/24,0,23,0.11917098445595854,709827.41,
Ростов-на-Дону,01/01/24,193,01/02/24,1,59,0.30569948186528495,1504288.55,1.1192314199306561
Ростов-на-Дону,01/01/24,193,01/03/24,2,41,0.21243523316062177,1175064.42,-0.21885703377852606
Ростов-на-Дону,01/02/24,138,01/02/24,0,19,0.13768115942028986,1144829.28,
Ростов-на-Дону,01/02/24,138,01/03/24,1,34,0.2463768115942029,1260532.0,0.10106547938745941
Ростов-на-Дону,01/02/24,138,,2,0,0.0,,
Ростов-на-Дону,01/03/24,171,01/03/24,0,24,0.14035087719298245,561039.18,
Ростов-на-Дону,01/03/24,171,,1,0,0.0,,
Самара,01/01/24,168,01/01/24,0,20,0.11904761904761904,409503.95,
Самара,01/01/24,168,01/02/24,1,46,0.27380952380952384,1727348.17,3.2181477614562692
Самара,01/01/24,168,01/03/24,2,41,0.24404761904761904,1396502.39,-0.19153392798627275
Самара,01/01/24,168,,3,0,0.0,,
Самара,01/02/24,175,01/02/24,0,17,0.09714285714285714,359948.03,
Самара,01/02/24,175,01/03/24,1,46,0.26285714285714284,1193036.85,2.3144697305330437
Самара,01/02/24,175,,2,0,0.0,,
Самара,01/03/24,177,01/03/24,0,26,0.14689265536723164,403307.38,
Самара,01/03/24,177,,1,0,0.0,,
Санкт-Петербург,01/01/24,180,01/01/24,0,22,0.12222222222222222,280863.04,
Санкт-Петербург,01/01/24,180,01/02/24,1,41,0.22777777777777777,1265760.6,3.5066826877612662
Санкт-Петербург,01/01/24,180,01/03/24,2,32,0.17777777777777778,682378.35,-0.4608946194090731
Санкт-Петербург,01/01/24,180,,3,0,0.0,,
Санкт-Петербург,01/02/24,156,01/02/24,0,22,0.14102564102564102,543360.73,
Санкт-Петербург,01/02/24,156,01/03/24,1,27,0.17307692307692307,906684.62,0.6686605599929903
Санкт-Петербург,01/02/24,156,,2,0,0.0,,
Санкт-Петербург,01/03/24,168,01/03/24,0,16,0.09523809523809523,517968.3,
Санкт-Петербург,01/03/24,168,,1,0,0.0,,
Саратов,01/01/24,143,01/01/24,0,25,0.17482517482517482,814742.15,
Саратов,01/01/24,143,01/02/24,1,35,0.24475524475524477,1163284.06,0.42779413094069085
Саратов,01/01/24,143,01/03/24,2,28,0.1958041958041958,925608.72,-0.20431410364206315
Саратов,01/01/24,143,,3,0,0.0,,
Саратов,01/02/24,153,01/02/24,0,15,0.09803921568627451,278480.6,
Саратов,01/02/24,153,01/03/24,1,32,0.20915032679738563,1018912.94,2.6588291608104835
Саратов,01/02/24,153,,2,0,0.0,,
Саратов,01/03/24,174,01/03/24,0,22,0.12643678160919541,430365.16,
Саратов,01/03/24,174,,1,0,0.0,,
Тольятти,01/01/24,163,01/01/24,0,22,0.13496932515337423,703961.86,
Тольятти,01/01/24,163,01/02/24,1,38,0.2331288343558282,988606.66,0.4043469059531151
Тольятти,01/01/24,163,01/03/24,2,32,0.19631901840490798,1297002.85,0.311950346359188
Тольятти,01/02/24,134,01/02/24,0,16,0.11940298507462686,751722.69,
Тольятти,01/02/24,134,01/03/24,1,24,0.1791044776119403,984654.77,0.30986437299105607
Тольятти,01/02/24,134,,2,0,0.0,,
Тольятти,01/03/24,179,01/03/24,0,16,0.0893854748603352,555879.17,
Тольятти,01/03/24,179,,1,0,0.0,,
Тюмень,01/01/24,177,01/01/24,0,19,0.10734463276836158,763671.24,
Тюмень,01/01/24,177,01/02/24,1,35,0.1977401129943503,1457327.2,0.9083175110797678
Тюмень,01/01/24,177,01/03/24,2,35,0.1977401129943503,701215.37,-0.5188346378218975
Тюмень,01/01/24,177,,3,0,0.0,,
Тюмень,01/02/24,147,01/02/24,0,21,0.14285714285714285,749990.33,
Тюмень,01/02/24,147,01/03/24,1,29,0.19727891156462585,697466.7,-0.07003240961786801
Тюмень,01/02/24,147,,2,0,0.0,,
Тюмень,01/03/24,161,01/03/24,0,20,0.12422360248447205,1038839.65,
Тюмень,01/03/24,161,,1,0,0.0,,
Уфа,01/01/24,149,01/01/24,0,18,0.12080536912751678,575324.67,
Уфа,01/01/24,149,01/02/24,1,34,0.22818791946308725,624222.96,0.08499251387916322
Уфа,01/01/24,149,01/03/24,2,40,0.2684563758389262,1833516.35,1.9372779719605315
Уфа,01/01/24,149,,3,0,0.0,,
Уфа,01/02/24,172,01/02/24,0,17,0.09883720930232558,358769.0,
Уфа,01/02/24,172,01/03/24,1,48,0.27906976744186046,1251135.6,2.4873012997221053
Уфа,01/02/24,172,,2,0,0.0,,
Уфа,01/03/24,178,01/03/24,0,18,0.10112359550561797,748825.55,
Уфа,01/03/24,178,,1,0,0.0,,
Челябинск,01/01/24,180,01/01/24,0,27,0.15,550412.84,
Челябинск,01/01/24,180,01/02/24,1,35,0.19444444444444445,949850.2,0.7257050180733429
Челябинск,01/01/24,180,01/03/24,2,45,0.25,1516787.11,0.5968698116818841
Челябинск,01/01/24,180,,3,0,0.0,,
Челябинск,01/02/24,152,01/02/24,0,18,0.11842105263157894,524184.85,
Челябинск,01/02/24,152,01/03/24,1,48,0.3157894736842105,1399477.71,1.669817164689136
Челябинск,01/02/24,152,,2,0,0.0,,
Челябинск,01/03/24,157,01/03/24,0,16,0.10191082802547771,777965.32,
Челябинск,01/03/24,157,,1,0,0.0,,
,01/01/24,39,01/01/24,0,6,0.15384615384615385,,
,01/01/24,39,01/02/24,1,9,0.23076923076923078,,
,01/01/24,39,01/03/24,2,10,0.2564102564102564,,
,01/01/24,39,,3,0,0.0,,
,01/02/24,23,01/02/24,0,0,0.0,,
,01/02/24,23,01/03/24,1,5,0.21739130434782608,,
,01/02/24,23,,2,0,0.0,,
,01/03/24,37,01/03/24,0,11,0.2972972972972973,,
,01/03/24,37,,1,0,0.0,,
