customer_id,order_id,order_size,customers_unique_products_count_total,customers_unique_brands_count_total,customers_unique_category_count_total
3,726,2,2,2,2
3,727,2,2,2,2
11,3484,1,1,1,1
12,4449,2,2,2,2
13,2963,1,1,1,1
15,16,3,3,3,3
17,1210,4,9,9,7
17,1876,5,9,9,7
24,1314,1,1,1,1
26,1,2,2,2,2
30,67,1,1,1,1
31,61,2,2,2,1
34,3202,1,1,1,1
37,277,2,2,2,2
38,2130,1,1,1,1
47,62,2,2,2,2
53,3552,1,1,1,1
55,57,1,4,4,4
55,58,2,4,4,4
55,59,2,4,4,4
55,60,2,4,4,4
55,3151,2,4,4,4
62,750,1,1,1,1
64,594,1,3,3,3
64,595,1,3,3,3
64,2341,2,3,3,3
65,3326,2,2,2,2
71,1345,2,2,2,2
72,2390,4,4,4,4
73,1315,1,1,1,1
74,1458,1,1,1,1
79,1399,5,5,5,5
81,2448,1,1,1,1
82,2816,1,1,1,1
87,22,3,4,4,3
87,705,1,4,4,3
90,2904,2,5,5,4
90,4300,3,5,5,4
91,1147,1,1,1,1
92,90,1,1,1,1
93,377,3,3,3,3
96,10,1,1,1,1
96,11,1,1,1,1
100,226,1,2,2,2
100,227,1,2,2,2
100,3226,1,2,2,2
101,3440,3,3,3,2
102,18,1,4,4,3
102,19,4,4,4,3
103,4720,1,1,1,1
107,1161,1,2,2,2
107,1338,1,2,2,2
114,2613,1,1,1,1
115,4635,1,1,1,1
118,1503,1,1,1,1
119,2366,4,4,4,4
123,809,1,1,1,1
124,244,5,5,5,5
125,4468,1,1,1,1
129,2459,1,1,1,1
130,3963,1,1,1,1
130,3964,1,1,1,1
131,691,2,2,2,1
133,3941,1,1,1,1
134,3549,2,3,3,3
134,4991,1,3,3,3
134,4992,1,3,3,3
135,5053,2,2,2,2
136,3516,1,2,2,1
136,3518,2,2,2,1
136,3519,2,2,2,1
144,407,1,1,1,1
144,408,1,1,1,1
145,4096,1,1,1,1
146,754,1,1,1,1
155,439,3,3,2,3
157,390,3,3,3,3
157,391,3,3,3,3
159,2219,2,2,2,2
161,912,1,1,1,1
161,914,1,1,1,1
164,268,2,2,2,2
167,1796,2,6,6,5
167,3829,4,6,6,5
170,38,1,1,1,1
172,2,2,8,8,7
172,3,3,8,8,7
172,1979,5,8,8,7
173,106,1,1,1,1
178,806,3,3,3,3
181,2304,1,1,1,1
182,9,1,1,1,1
183,1703,3,3,3,3
184,1058,1,1,1,1
184,1059,1,1,1,1
184,1060,1,1,1,1
185,3278,4,4,4,4
193,1251,4,4,4,4
196,2205,2,2,2,2
198,293,1,3,2,3
198,2439,2,3,2,3
199,2182,1,2,2,1
199,2186,2,2,2,1
200,4508,3,3,3,3
201,1429,1,4,4,4
201,1433,4,4,4,4
206,159,3,3,3,3
211,2037,2,2,2,2
216,3555,1,1,1,1
219,3930,1,1,1,1
224,2350,3,3,3,3
225,3814,1,1,1,1
226,4821,2,2,2,2
228,1511,2,2,2,2
231,1927,1,1,1,1
231,1928,1,1,1,1
235,693,2,2,2,2
236,2428,1,1,1,1
236,2431,1,1,1,1
239,338,2,2,2,2
242,3201,2,2,2,2
242,3205,2,2,2,2
244,3046,1,2,2,2
244,3048,1,2,2,2
244,3054,2,2,2,2
246,143,3,3,3,3
249,2804,4,4,4,4
250,388,2,2,2,2
252,1075,2,2,2,2
256,2656,1,1,1,1
265,1421,1,1,1,1
266,1481,1,6,6,6
266,3309,1,6,6,6
266,4464,4,6,6,6
269,1015,2,2,2,2
270,312,1,7,7,6
270,982,6,7,7,6
275,3952,1,1,1,1
276,821,2,3,3,3
276,824,3,3,3,3
277,3907,3,3,3,2
278,42,3,3,3,3
279,2638,6,7,7,7
279,4272,1,7,7,7
282,922,2,2,2,2
285,1520,2,4,4,4
285,2168,1,4,4,4
285,2169,2,4,4,4
291,1284,1,3,3,3
291,1285,1,3,3,3
291,3303,2,3,3,3
292,83,1,1,1,1
294,857,4,4,4,4
296,242,2,3,3,3
296,3953,1,3,3,3
297,127,1,1,1,1
299,126,2,2,2,2
302,3001,1,1,1,1
304,4437,1,1,1,1
305,2069,5,5,5,5
307,357,4,4,4,3
309,1734,3,3,3,3
315,56,1,2,2,2
315,521,1,2,2,2
316,1599,1,1,1,1
318,889,2,2,2,2
319,1513,1,2,2,2
319,1518,2,2,2,2
320,192,3,6,4,6
320,837,3,6,4,6
323,4759,1,1,1,1
325,2736,3,3,3,3
328,286,1,1,1,1
329,558,2,2,2,2
331,1126,2,2,2,2
332,84,1,1,1,1
339,3485,1,1,1,1
341,1326,2,2,2,2
345,649,1,1,1,1
347,813,2,2,2,2
348,554,1,1,1,1
352,459,1,1,1,1
356,3781,1,2,2,1
356,3790,2,2,2,1
357,100,1,4,4,4
357,1958,1,4,4,4
357,1965,3,4,4,4
362,1286,2,2,2,2
362,1287,2,2,2,2
365,3895,1,1,1,1
365,3898,1,1,1,1
371,2617,3,3,3,3
373,139,2,2,2,2
373,140,2,2,2,2
379,1467,1,1,1,1
382,2778,1,1,1,1
383,1648,2,2,2,2
390,4328,3,3,3,3
392,551,1,2,2,2
392,1989,1,2,2,2
393,890,1,2,2,2
393,892,2,2,2,2
394,736,2,2,2,2
398,1769,5,5,4,4
400,567,3,3,3,3
405,2733,3,3,3,3
406,3213,1,1,1,1
407,566,3,3,3,2
408,251,2,4,4,3
408,252,2,4,4,3
408,2321,2,4,4,3
410,2502,1,1,1,1
410,2503,1,1,1,1
413,2616,2,2,2,2
413,2619,2,2,2,2
417,4101,2,2,2,2
417,4102,2,2,2,2
422,69,1,1,1,1
425,2319,1,1,1,1
426,105,2,2,2,2
428,1172,1,1,1,1
430,4237,1,1,1,1
431,1182,2,2,2,2
434,133,1,1,1,1
435,270,1,2,2,2
435,991,1,2,2,2
449,1339,1,2,2,2
449,2509,1,2,2,2
452,1111,4,12,11,11
452,2609,3,12,11,11
452,2611,8,12,11,11
455,1354,3,3,2,3
459,346,2,2,2,2
461,3223,2,2,2,2
463,639,2,2,2,2
463,640,2,2,2,2
465,466,1,1,1,1
465,467,1,1,1,1
469,3207,2,2,2,2
476,3805,2,2,2,2
478,205,2,2,2,2
481,352,1,1,1,1
483,36,2,2,2,2
486,87,1,1,1,1
492,3250,4,4,4,3
495,2243,4,4,4,4
496,398,1,1,1,1
497,94,2,2,2,2
498,3287,3,3,3,3
498,3290,3,3,3,3
498,3292,3,3,3,3
500,2827,2,2,2,2
501,299,3,3,3,3
502,188,2,2,2,2
507,1442,2,4,4,4
507,3077,2,4,4,4
509,3886,2,2,1,2
513,2166,2,2,2,2
514,1363,1,3,2,3
514,2848,2,3,2,3
519,1407,3,3,3,3
521,490,3,3,3,3
521,491,3,3,3,3
523,4443,1,1,1,1
525,4216,1,1,1,1
526,3482,1,1,1,1
528,3729,4,4,4,4
529,1130,2,2,2,2
532,1695,2,2,2,2
532,1696,2,2,2,2
533,63,2,2,2,2
536,3771,2,2,2,2
536,3773,2,2,2,2
537,631,3,5,5,4
537,634,5,5,5,4
539,4965,5,5,4,4
542,692,4,8,8,6
542,804,4,8,8,6
544,410,2,2,2,2
546,1536,1,1,1,1
547,2380,2,2,2,2
549,1946,1,1,1,1
550,114,2,2,2,2
551,164,3,3,3,3
552,1342,2,2,2,2
554,1352,2,2,2,2
556,380,2,2,2,2
558,1267,1,1,1,1
565,486,2,2,2,2
568,1999,3,3,3,3
576,543,2,2,2,2
579,2327,3,3,3,3
580,2035,1,1,1,1
585,25,1,4,4,4
585,26,2,4,4,4
585,1919,2,4,4,4
589,1280,1,1,1,1
589,1281,1,1,1,1
590,830,5,5,5,5
591,385,1,1,1,1
592,2032,3,3,3,3
593,834,5,5,5,5
596,3577,5,5,5,5
597,75,1,1,1,1
603,2425,6,6,5,6
604,96,2,2,2,2
607,1052,1,1,1,1
614,1398,1,4,3,4
614,4085,3,4,3,4
618,399,1,1,1,1
620,21,2,2,2,2
625,3824,2,2,2,2
625,3826,2,2,2,2
631,2723,5,5,5,5
631,2724,5,5,5,5
635,1232,1,1,1,1
635,1234,1,1,1,1
639,2209,2,2,2,2
640,1356,1,1,1,1
642,401,2,5,5,5
642,402,3,5,5,5
642,2500,1,5,5,5
642,4494,1,5,5,5
643,366,1,1,1,1
646,328,2,3,3,3
646,330,3,3,3,3
651,1207,1,1,1,1
651,1208,1,1,1,1
659,45,1,1,1,1
664,1868,3,3,3,3
665,4486,1,5,5,5
665,4925,4,5,5,5
667,1189,1,1,1,1
