customer_id,customer_city,cohort,registration_date,days_since_registration,orders_count,avg_delivery_days,revenue,segment
1,Екатеринбург,01/01/24,01/01/24,90,,,,inactive
2,Пермь,01/01/24,01/01/24,90,,,,inactive
3,Ростов-на-Дону,01/01/24,01/01/24,90,2,4.647916666666667,76466.97,one_time
4,Санкт-Петербург,01/01/24,01/01/24,90,,,,inactive
5,Ижевск,01/01/24,01/01/24,90,,,,inactive
6,Новосибирск,01/01/24,01/01/24,90,,,,inactive
7,Уфа,01/01/24,01/01/24,90,,,,inactive
8,Тольятти,01/01/24,01/01/24,90,,,,inactive
9,Ростов-на-Дону,01/01/24,01/01/24,90,,,,inactive
10,Ростов-на-Дону,01/01/24,01/01/24,90,,,,inactive
11,Санкт-Петербург,01/01/24,01/01/24,90,1,2.517361111111111,60071.71,one_time
12,Екатеринбург,01/01/24,01/01/24,90,1,6.152083333333334,18569.66,one_time
13,Самара,01/01/24,01/01/24,90,1,3.3006944444444444,13259.48,one_time
14,Ростов-на-Дону,01/01/24,01/01/24,90,,,,inactive
15,Краснодар,01/01/24,01/01/24,90,1,7.692361111111111,37513.34,one_time
16,Ижевск,01/01/24,01/01/24,90,,,,inactive
17,Екатеринбург,01/01/24,01/01/24,90,2,7.498263888888889,164247.17,one_time
18,Санкт-Петербург,01/01/24,01/01/24,90,,,,inactive
19,Красноярск,01/01/24,01/01/24,90,,,,inactive
20,Новосибирск,01/01/24,01/01/24,90,,,,inactive
21,Краснодар,01/01/24,01/01/24,90,,,,inactive
22,Уфа,01/01/24,01/01/24,90,,,,inactive
23,Казань,01/01/24,01/01/24,90,,,,inactive
24,Ижевск,01/01/24,01/01/24,90,1,4.013194444444444,32222.83,one_time
25,Волгоград,01/01/24,01/01/24,90,,,,inactive
26,Казань,01/01/24,01/01/24,90,1,2.498611111111111,15430.76,one_time
27,Челябинск,01/01/24,01/01/24,90,,,,inactive
28,Новосибирск,01/01/24,01/01/24,90,,,,inactive
29,Волгоград,01/01/24,01/01/24,90,,,,inactive
30,Омск,01/01/24,01/01/24,90,1,3.9131944444444446,38011.85,one_time
31,Саратов,01/01/24,01/01/24,90,1,6.741666666666666,34404.35,one_time
32,Казань,01/01/24,01/01/24,90,,,,inactive
33,Уфа,01/01/24,01/01/24,90,,,,inactive
34,Нижний Новгород,01/01/24,01/01/24,90,1,5.782638888888889,33396.51,one_time
35,Уфа,01/01/24,01/01/24,90,,,,inactive
36,Ижевск,01/01/24,01/01/24,90,,,,inactive
37,Пермь,01/01/24,01/01/24,90,1,4.858333333333333,32234.2,one_time
38,Челябинск,01/01/24,01/01/24,90,1,4.470833333333333,11457.93,one_time
39,Ижевск,01/01/24,01/01/24,90,,,,inactive
40,Воронеж,01/01/24,01/01/24,90,,,,inactive
41,Ижевск,01/01/24,01/01/24,90,,,,inactive
42,Саратов,01/01/24,01/01/24,90,,,,inactive
43,Омск,01/01/24,01/01/24,90,,,,inactive
44,Пермь,01/01/24,01/01/24,90,,,,inactive
45,Нижний Новгород,01/01/24,01/01/24,90,,,,inactive
46,Пермь,01/01/24,01/01/24,90,,,,inactive
47,Санкт-Петербург,01/01/24,01/01/24,90,1,2.3270833333333334,63102.55,one_time
48,Воронеж,01/01/24,01/01/24,90,,,,inactive
49,Красноярск,01/01/24,01/01/24,90,,,,inactive
50,Новосибирск,01/01/24,01/01/24,90,,,,inactive
51,Санкт-Петербург,01/01/24,01/01/24,90,,,,inactive
52,Тюмень,01/01/24,01/01/24,90,,,,inactive
53,Челябинск,01/01/24,01/01/24,90,1,6.985416666666667,22524.08,one_time
54,Новосибирск,01/01/24,01/01/24,90,,,,inactive
55,Пермь,01/01/24,01/01/24,90,5,4.637777777777777,192512.18,regular
56,Ижевск,01/01/24,01/01/24,90,,,,inactive
57,Екатеринбург,01/01/24,01/01/24,90,,,,inactive
58,Омск,01/01/24,01/01/24,90,,,,inactive
59,Воронеж,01/01/24,01/01/24,90,,,,inactive
60,Новосибирск,01/01/24,01/01/24,90,,,,inactive
61,Тольятти,01/01/24,01/01/24,90,,,,inactive
62,Тюмень,01/01/24,01/01/24,90,1,5.81875,26678.9,one_time
63,Пермь,01/01/24,01/01/24,90,,,,inactive
64,,01/01/24,01/01/24,90,3,2.964351851851852,83821.87,regular
65,Казань,01/01/24,01/01/24,90,1,8.413194444444445,14080.5,one_time
66,Краснодар,01/01/24,01/01/24,90,,,,inactive
67,Ижевск,01/01/24,01/01/24,90,,,,inactive
68,Челябинск,01/01/24,01/01/24,90,,,,inactive
69,Тюмень,01/01/24,01/01/24,90,,,,inactive
70,Саратов,01/01/24,01/01/24,90,,,,inactive
71,Самара,01/01/24,01/01/24,90,1,8.631944444444445,11793.9,one_time
72,Уфа,01/01/24,01/01/24,90,1,4.254861111111111,40361.06,one_time
73,Уфа,01/01/24,01/01/24,90,1,4.741666666666666,580.36,one_time
74,Волгоград,01/01/24,01/01/24,90,1,5.472222222222222,77590.91,one_time
75,Краснодар,01/01/24,01/01/24,90,,,,inactive
76,Нижний Новгород,01/01/24,01/01/24,90,,,,inactive
77,Ростов-на-Дону,01/01/24,01/01/24,90,,,,inactive
78,Москва,01/01/24,01/01/24,90,,,,inactive
79,Ижевск,01/01/24,01/01/24,90,1,3.354861111111111,209749.48,one_time
80,Саратов,01/01/24,01/01/24,90,,,,inactive
81,Новосибирск,01/01/24,01/01/24,90,1,2.8319444444444444,2254.88,one_time
82,Екатеринбург,01/01/24,01/01/24,90,1,5.124305555555556,995.77,one_time
83,Самара,01/01/24,01/01/24,90,,,,inactive
84,Тольятти,01/01/24,01/01/24,90,,,,inactive
85,Санкт-Петербург,01/01/24,01/01/24,90,,,,inactive
86,Уфа,01/01/24,01/01/24,90,,,,inactive
87,Воронеж,01/01/24,01/01/24,90,2,3.906597222222222,94494.64,one_time
88,Нижний Новгород,01/01/24,01/01/24,90,,,,inactive
89,Красноярск,01/01/24,01/01/24,90,,,,inactive
90,Ижевск,01/01/24,01/01/24,90,2,1.3993055555555554,153556.71,one_time
91,Ростов-на-Дону,01/01/24,01/01/24,90,1,3.1527777777777777,2974.73,one_time
92,Красноярск,01/01/24,01/01/24,90,1,6.111111111111111,29052.64,one_time
93,Волгоград,01/01/24,01/01/24,90,1,3.8201388888888888,119899.49,one_time
94,Москва,01/01/24,01/01/24,90,,,,inactive
95,Тольятти,01/01/24,01/01/24,90,,,,inactive
96,Москва,01/01/24,01/01/24,90,2,4.771527777777778,48450.31,one_time
97,Уфа,01/01/24,01/01/24,90,,,,inactive
98,Ростов-на-Дону,01/01/24,01/01/24,90,,,,inactive
99,Пермь,01/01/24,01/01/24,90,,,,inactive
100,Уфа,01/01/24,01/01/24,90,3,4.752314814814816,78063.99,regular
101,Нижний Новгород,01/01/24,01/01/24,90,1,4.739583333333333,10204.22,one_time
102,Ростов-на-Дону,01/01/24,01/01/24,90,2,5.527083333333334,109388.62,one_time
103,Нижний Новгород,01/01/24,01/01/24,90,1,6.718055555555556,2955.11,one_time
104,Нижний Новгород,01/01/24,01/01/24,90,,,,inactive
105,Ростов-на-Дону,01/01/24,01/01/24,90,,,,inactive
106,Новосибирск,01/01/24,01/01/24,90,,,,inactive
107,Тольятти,01/01/24,01/01/24,90,2,4.107291666666667,62671.7,one_time
108,Ростов-на-Дону,01/01/24,01/01/24,90,,,,inactive
109,Саратов,01/01/24,01/01/24,90,,,,inactive
110,Москва,01/01/24,01/01/24,90,,,,inactive
111,Воронеж,01/01/24,01/01/24,90,,,,inactive
112,Саратов,01/01/24,01/01/24,90,,,,inactive
113,Москва,01/01/24,01/01/24,90,,,,inactive
114,Екатеринбург,01/01/24,01/01/24,90,1,1.08125,17195.38,one_time
115,Санкт-Петербург,01/01/24,01/01/24,90,1,6.331944444444445,69675.25,one_time
116,Челябинск,01/01/24,01/01/24,90,,,,inactive
117,Москва,01/01/24,01/01/24,90,,,,inactive
118,Тюмень,01/01/24,01/01/24,90,1,1.8284722222222223,80439.57,one_time
